year,horizon,seed,feature_set,train_window,train_rows,valid_rows,refit_rows,test_rows,best_epoch,best_valid_ic,test_ic,test_spread,refit_final_loss,clip_lo,clip_hi,run
2018,20,27182,all,expanding,55678,10878,67585,12226,1,0.0417526057432148,0.0117918773781929,0.0167034664699465,0.9097252813252537,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed27182_20260829_162616
2019,20,27182,all,expanding,67585,11176,79790,12050,35,0.0765434465366275,-0.0179210994485374,-0.0101747603988498,0.6636148140980647,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed27182_20260829_162616
2020,20,27182,all,expanding,79790,11000,91840,12250,10,0.0712523056813657,0.099915427395448,0.0302985125053491,0.6879897117614746,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed27182_20260829_162616
2021,20,27182,all,expanding,91840,11200,104090,12150,1,0.1265374721317098,0.0697440670369739,0.0174178217483964,0.7817969637758592,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed27182_20260829_162616
2022,20,27182,all,expanding,104090,11100,116240,12300,25,0.1051605978692157,0.0406916192633296,0.015530690698481,0.6759923665147078,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed27182_20260829_162616
2023,20,27182,all,expanding,116240,11250,128540,11950,25,0.0794897313360678,0.0676487905188912,0.0166031794400702,0.6746214088939485,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed27182_20260829_162616
2024,20,27182,all,expanding,128540,10900,140490,12100,1,0.0941116965947779,0.0242653674152129,0.0077322169737878,0.782812968544338,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed27182_20260829_162616
2025,20,27182,all,expanding,140490,11050,152590,12150,1,0.0504436219882253,0.1203205232710368,0.0495874064247428,0.7443479895591736,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed27182_20260829_162616
2026,20,27182,all,expanding,152590,11100,164740,6900,15,0.1362681288731708,0.0608890434609363,0.0524663501070206,0.68451710762801,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed27182_20260829_162616
2018,20,16180,all,expanding,55678,10878,67585,12226,15,0.0379732001035043,0.0422207658291275,0.0065124295739579,0.6854532740332864,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed16180_20260829_162629
2019,20,16180,all,expanding,67585,11176,79790,12050,15,0.0778098905079911,0.0558434372841172,0.0065075420909108,0.6853026197506831,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed16180_20260829_162629
2020,20,16180,all,expanding,79790,11000,91840,12250,25,0.0650401454864071,0.0656485287992748,0.0184143894176548,0.6812407890955607,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed16180_20260829_162629
2021,20,16180,all,expanding,91840,11200,104090,12150,40,0.1070824043903275,0.0547820314598697,0.018572026129576,0.6525475558112649,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed16180_20260829_162629
2022,20,16180,all,expanding,104090,11100,116240,12300,25,0.106337498274,0.0284585922626848,0.0105907094396434,0.6736612351317155,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed16180_20260829_162629
2023,20,16180,all,expanding,116240,11250,128540,11950,1,0.0880050945877868,-0.045990375066826,-0.0144757580587864,0.7889624635378519,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed16180_20260829_162629
2024,20,16180,all,expanding,128540,10900,140490,12100,25,0.0860279185798931,0.0383401438447082,0.007314175772821,0.6746023971101512,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed16180_20260829_162629
2025,20,16180,all,expanding,140490,11050,152590,12150,5,0.0494517371061726,0.1316799312317519,0.0508005752694171,0.6900230002403259,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed16180_20260829_162629
2026,20,16180,all,expanding,152590,11100,164740,6900,10,0.1440636795258644,0.0673831174890399,0.05864490027382,0.6872207522392273,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed16180_20260829_162629
2018,20,42424,all,expanding,55678,10878,67585,12226,1,0.0419521000303838,0.0115060661767637,0.0181845313130477,0.8820335106416182,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed42424_20260829_162625
2019,20,42424,all,expanding,67585,11176,79790,12050,1,0.1252638893042575,-0.0869652295884031,-0.0186817331845438,0.8344050737527701,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed42424_20260829_162625
2020,20,42424,all,expanding,79790,11000,91840,12250,15,0.073765721805815,0.0930155572433054,0.0311083795301714,0.6845504164695739,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed42424_20260829_162625
2021,20,42424,all,expanding,91840,11200,104090,12150,30,0.1102030172490139,0.0582176985794383,0.0293329281291335,0.6683973705067354,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed42424_20260829_162625
2022,20,42424,all,expanding,104090,11100,116240,12300,10,0.0820661694810218,0.0721750348891583,0.0169074111210042,0.6862811508931612,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed42424_20260829_162625
2023,20,42424,all,expanding,116240,11250,128540,11950,20,0.0963877903113096,0.0228070960542919,0.0044338383921667,0.6821728604180473,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed42424_20260829_162625
