horizon,feature_set,train_window,year,seeds,ic_mean,ic_median,ic_std,spread_mean
10,no_trend,8,2023,16,4.195102643639336e-05,0.0040465850718642005,0.020051987681624216,0.0012702291753768624
10,no_trend,8,2024,16,0.03141771136042361,0.033921390765731696,0.01440643285742232,0.006239595352954169
10,no_trend,8,2025,16,0.06427516985387925,0.07119505275492555,0.022886159712363144,0.016694465721912764
10,no_trend,8,2026,16,0.05430846060894346,0.05918260322280515,0.019491597170395246,0.030127552233356295
10,no_trend,expanding,2018,16,0.039307564188126726,0.040638822898695554,0.015117896521168314,0.004845647559633038
10,no_trend,expanding,2019,16,-0.02554060805451016,-0.02962147857839455,0.037627569782072885,-0.004561578161398506
10,no_trend,expanding,2020,16,0.03450984162382396,0.0352122971973915,0.02656973045723212,0.003669881311306751
10,no_trend,expanding,2021,16,0.03004433134279813,0.03497449884932395,0.01684563256311717,0.012662874255028888
10,no_trend,expanding,2022,16,0.01136161977359102,0.01267850116530695,0.019935606723304217,0.002034756767121806
10,no_trend,expanding,2023,16,0.0071839146856099685,0.00921266117661615,0.020148891267351837,0.0027909376619935436
10,no_trend,expanding,2024,16,0.015617483301325981,0.013063816418841152,0.01671844124667718,0.003874458822123625
10,no_trend,expanding,2025,16,0.06765447086625814,0.0693307963023517,0.028633074369854905,0.013844511583947243
10,no_trend,expanding,2026,16,0.04908908666531229,0.053162009316797196,0.017000498266019695,0.029386405981779187
10,no_volatility,3,2018,16,0.052775446112324514,0.054226794502510445,0.022678914583941518,0.006511285160838231
10,no_volatility,3,2019,16,-0.015622525399246806,-0.017908148022047002,0.01060176426486122,-0.004534389458652194
10,no_volatility,3,2020,16,0.022080771292134115,0.0237054258960922,0.03750126208464087,0.005417464094755031
10,no_volatility,3,2021,16,0.0441091803736221,0.04555589290282405,0.007993507671584316,0.017822000967500962
10,no_volatility,3,2022,16,0.029639019967403712,0.028024455305853548,0.00967407488421158,0.00504443522871025
10,no_volatility,3,2023,16,0.013587893227101305,0.0159440555923256,0.023730564449412777,0.0041205343300669064
10,no_volatility,3,2024,16,-0.0014902028434377905,-0.00708376022443735,0.016706548617060973,0.0002808927602504812
